"Title","Writer","Publisher","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Avail19","Novel","Genre"
"돌이킬 수 없는 약속","야쿠마루 가쿠","북플라자","X",13500,380,102,8,548595,"X","x","추리"
"매스커레이드 나이트","히가시노 게이고","현대문학","매스커레이드 시리즈",13320,556,32,8,55707,"X","x","추리"
"가면산장 살인사건","히가시노 게이고","재인","X",13320,336,134,8,88926,"X","x","추리"
"11문자 살인사건","히가시노 게이고","알에이치코리아(RHK)","X",13320,344,61,8,34083,"X","x","추리"
"앨리스 죽이기","코바야시 야스미","검은숲","X",12150,364,47,6,149877,"X","x","추리"
"용의자 X의 헌신","히가시노 게이고","재인","X",15120,448,51,8,77232,"X","x","추리"
"비탄의 문 1","미야베 미유키","문학동네","X",14220,516,0,0,3420,"X","x","추리"
"비탄의 문 2","미야베 미유키","문학동네","X",14220,508,0,0,3180,"X","x","추리"
"라플라스의 마녀","히가시노 게이고","현대문학","2016 올해의 책",13320,524,118,8,65490,"X","x","추리"
"매스커레이드 이브","히가시노 게이고","현대문학","매스커레이드 시리즈",12600,344,43,8,15138,"X","x","추리"
"매스커레이드 호텔","히가시노 게이고","현대문학","매스커레이드 시리즈",13320,504,110,8,23244,"X","x","추리"
"클라라 죽이기","코바야시 야스미","검은숲","X",12150,360,12,7,44229,"X","x","추리"
"악의","히가시노 게이고","현대문학","X",12600,356,180,8,45492,"X","x","추리"
"장미의 이름 세트","움베르토 에코","열린책들","X",23040,906,34,8,10938,"X","x","추리"
"그리고 아무도 없었다","애거사 크리스티","해문출판사","X",9000,272,113,8,27468,"X","x","추리"
"우리가 추락한 이유","데니스 루헤인","황금가지","X",13500,500,2,10,1422,"X","x","추리"
"여름, 어디선가 시체가","박연선","놀","X",12420,396,254,8,6906,"X","x","추리"
"너는 여기에 없었다","조너선 에임즈","프시케의숲","X",10080,152,0,0,2622,"X","x","추리"
"아침이 온다","츠지무라 미즈키","몽실북스","X",12600,360,41,8,10149,"X","x","추리"
"제노사이드","다카노 가즈아키","황금가지","X",13500,688,163,8,22374,"X","x","추리"
"내가 그를 죽였다","히가시노 게이고","현대문학","X",10800,384,57,8,6684,"X","x","추리"
"진실의 10미터 앞","요네자와 호노부","엘릭시르","X",13320,368,9,8,8952,"X","x","추리"
"그리고 아무도 없었다","애거사 크리스티","황금가지","X",9000,331,6,8,6054,"X","x","추리"
"모방범 1","미야베 미유키","문학동네","X",12420,528,30,8,9408,"X","x","추리"
"졸업","히가시노 게이고","현대문학","X",10800,408,86,8,5340,"X","x","추리"
"브루투스의 심장","히가시노 게이고","랜덤하우스코리아","X",9000,392,35,8,11220,"X","x","추리"
"붉은 손가락","히가시노 게이고","현대문학","X",12600,300,157,8,12192,"X","x","추리"
"13계단","다카노 가즈아키","황금가지","X",10800,365,152,8,8406,"X","x","추리"
"셜록 홈즈 전집 세트","아서 코난 도일","문예춘추사","X",43000,2976,11,8,18030,"X","x","추리"
"유성의 인연 2","히가시노 게이고","현대문학","X",10800,286,25,8,13386,"X","x","추리"
"살해하는 운명 카드","윤현승","새파란상상 (파란미디어)","X",9900,324,11,8,4740,"X","x","추리"
"둘 중 누군가 그녀를 죽였다","히가시노 게이고","현대문학","X",10800,356,52,8,5796,"X","x","추리"
"맥파이 살인 사건","앤터니 호로비츠","열린책들","X",14220,624,14,8,5073,"X","x","추리"
"밀실살인게임","우타노 쇼고","한스미디어","X",11700,480,45,7,6720,"X","x","추리"
"코너스톤 아르센 뤼팽 전집 세트","모리스 르블랑","코너스톤(도서)","X",58500,NA,0,0,2628,"X","x","추리"
"데드맨","가와이 간지","작가정신","X",11700,384,78,8,7950,"X","x","추리"
"유성의 인연 1","히가시노 게이고","현대문학","X",10800,285,52,8,13524,"X","x","추리"
"비밀","히가시노 게이고","창해(새우와 고래)","X",12600,477,37,8,6420,"X","x","추리"
"미스 마플 13 수수께끼","애거사 크리스티","동서문화사","X",6120,326,1,7,1020,"X","x","추리"
"사라진 소방차","마이 셰발,  페르 발뢰","엘릭시르","X",12420,420,0,0,1422,"X","x","추리"
"블랙아웃 1","코니 윌리스","아작(디자인콤마)","X",13320,424,0,0,2124,"X","x","추리"
"은수의 레퀴엠","나카야마 시치리","블루홀6","X",13500,408,54,8,1638,"X","x","추리"
"봄철 한정 딸기 타르트 사건","요네자와 호노부","엘릭시르","X",12150,296,26,8,5214,"X","x","추리"
"환상의 여인","코넬 울리치","엘릭시르","X",11520,423,16,8,3150,"X","x","추리"
"모방범 2","미야베 미유키","문학동네","X",12420,504,16,8,7884,"X","x","추리"
"퇴마록 국내편 1","이우혁","엘릭시르","X",13320,664,17,8,3726,"X","x","추리"
"거짓말, 딱 한 개만 더","히가시노 게이고","현대문학","X",10800,263,50,8,5586,"X","x","추리"
"마인드 리더","크리스토퍼 판즈워스","북로드","X",13320,416,0,0,420,"X","x","추리"
"네메시스의 사자","나카야마 시치리","블루홀6","X",13950,424,0,0,420,"X","x","추리"
"블랙아웃 2","코니 윌리스","아작(디자인콤마)","X",13320,432,0,0,2010,"X","x","추리"
"미스터리 클락","기시 유스케","창해(새우와 고래)","X",13500,508,19,8,3978,"X","x","추리"
"에드거 앨런 포 소설 전집","에드가 앨런 포","코너스톤(도서)","X",18900,1658,16,8,3822,"X","x","추리"
"신참자","히가시노 게이고","재인","X",13320,440,107,8,5610,"X","x","추리"
"모방범 3","미야베 미유키","문학동네","X",12420,504,14,8,7596,"X","x","추리"
"퇴마록 국내편 2","이우혁","엘릭시르","X",13320,600,6,8,3234,"X","x","추리"
"방과 후","히가시노 게이고","창해(새우와 고래)","X",12150,437,101,8,4122,"X","x","추리"
"벚꽃지는 계절에 그대를 그리워하네","우타노 쇼고","한스미디어","X",9900,518,148,8,10536,"X","x","추리"
"계절은 회전목마처럼","오카자키 다쿠마","소미미디어","X",12420,340,11,8,1128,"X","x","추리"
"스트로베리 나이트","혼다 테쓰야","자음과모음","X",13320,416,12,8,2910,"X","x","추리"
"결정판 아르센 뤼팽 전집 1","모리스 르블랑","arte(아르테)","X",29700,868,17,8,1782,"X","x","추리"
"얼음에 갇힌 여자","로버트 브린자","북로드","X",13320,492,28,8,5148,"X","x","추리"
"다빈치 코드 1","댄 브라운","문학수첩","X",10800,392,8,8,4866,"X","x","추리"
"다빈치 코드 2","댄 브라운","문학수첩","X",10800,392,1,8,4554,"X","x","추리"
"성녀의 구제","히가시노 게이고","재인","X",12420,464,101,8,3864,"X","x","추리"
"잠자는 숲","히가시노 게이고","현대문학","X",10800,348,76,8,4122,"X","x","추리"
"치과 의사의 죽음","M. C. 비턴","현대문학","X",8820,332,3,8,1440,"X","x","추리"
"청부살인, 하고 있습니다","이시모치 아사미","노블마인","X",11700,260,18,8,1542,"X","x","추리"
"오리엔트 특급 살인","애거사 크리스티","황금가지","X",9000,341,18,8,16380,"X","x","추리"
"Y의 비극","엘러리 퀸","검은숲","X",11700,463,34,8,6276,"X","x","추리"
"세계대전 Z","맥스 브룩스","황금가지","X",10800,531,52,8,1902,"X","x","추리"
"애거서 크리스티 에디터스 초이스 세트","애거사 크리스티","황금가지","X",80000,3684,8,7,3882,"X","x","추리"
"검은 개가 온다","송시우","시공사","X",12420,432,5,8,2490,"X","x","추리"
"결정판 아르센 뤼팽 전집 2","모리스 르블랑","arte(아르테)","X",31500,936,0,0,954,"X","x","추리"
"망내인","찬호께이","한스미디어","X",16020,712,39,8,9726,"X","x","추리"
"셜록 홈즈 에센셜 에디션 02","아서 코난 도일","코너스톤(도서)","X",13500,596,3,10,3564,"X","x","추리"
"네가 전화를 걸었던 장소, 내가 전화를 걸었던 장소 세트","미아키 스가루","영상출판미디어","X",17640,568,13,8,3330,"X","x","추리"
"13.67","찬호께이","한스미디어","X",15300,664,52,8,9576,"X","x","추리"
"산 자와 죽은 자","넬레 노이하우스","북로드","타우누스",13320,608,87,8,3066,"X","x","추리"
"학생가의 살인","히가시노 게이고","재인","X",15120,572,24,7,3096,"X","x","추리"
"세계추리소설걸작선 1","에드가 앨런 포, 사카구치 안고, G.K.체스터튼, 나다니엘 호손, 고사카이 후보쿠","한스미디어","X",14220,640,2,10,2358,"X","x","추리"
"화차","미야베 미유키","문학동네","X",12420,488,94,8,2472,"X","x","추리"
"밀실살인게임 2.0","우타노 쇼고","한스미디어","X",12150,520,24,8,3816,"X","x","추리"
"천사의 나이프","야쿠마루 가쿠","황금가지","X",10800,355,88,8,2922,"X","x","추리"
"천사와 악마 1","댄 브라운","문학수첩","X",8820,407,20,8,2994,"X","x","추리"
"천사와 악마 2","댄 브라운","문학수첩","X",8820,407,4,8,2898,"X","x","추리"
"검은 집","기시 유스케","창해(새우와 고래)","X",12600,474,111,8,9780,"X","x","추리"
"블루 머더","혼다 테쓰야","자음과모음","X",13320,464,30,8,1158,"X","x","추리"
"인비저블 레인","혼다 테쓰야","자음과모음","X",13320,448,3,10,534,"X","x","추리"
"여자에게 어울리지 않는 직업","P. D. 제임스","아작(디자인콤마)","X",13320,352,2,10,2232,"X","x","추리"
"결정판 아르센 뤼팽 전집 3","모리스 르블랑","arte(아르테)","X",27000,672,0,0,762,"X","x","추리"
"테미스의 검","나카야마 시치리","블루홀6","X",14220,472,44,8,1644,"X","x","추리"
"추억의 야상곡","나카야마 시치리","블루홀6","X",13500,408,35,8,1788,"X","x","추리"
"셜록 홈즈 에센셜 에디션 01","아서 코난 도일","코너스톤(도서)","X",13500,596,4,8,3690,"X","x","추리"
"회랑정 살인사건","히가시노 게이고","알에이치코리아(RHK)","X",11700,300,10,8,6210,"X","x","추리"
"왕과 서커스","요네자와 호노부","엘릭시르","X",14850,536,25,8,1536,"X","x","추리"
"에도가와 란포 결정판 1","에도가와 란포","검은숲","X",19800,576,19,8,720,"X","x","추리"
"언틸유아마인 ","사만다 헤이즈","북플라자","X",13500,484,35,8,2556,"X","x","추리"
"코너스톤 셜록 홈즈 전집","아서 코난 도일","코너스톤(도서)","X",25000,3168,28,8,2712,"X","x","추리"
"아픈 것아, 아픈 것아, 날아가라","미아키 스가루","영상출판미디어","X",8820,376,14,8,5484,"X","x","추리"
"안녕 요정","요네자와 호노부","엘릭시르","X",12600,416,19,8,1254,"X","x","추리"
"십자가와 반지의 초상 ","미야베 미유키","북스피어","미야베 월드",16920,864,50,8,816,"X","x","추리"
"검찰 측 죄인","시즈쿠이 슈스케","arte(아르테)","X",13500,580,43,8,2874,"X","x","추리"
"콘크리트 블론드","마이클 코넬리","알에이치코리아(RHK)","X",10800,480,2,10,570,"X","x","추리"
"니체가 눈물을 흘릴 때","Irvin D. Yalom","필로소픽","X",16200,512,5,8,1386,"X","x","추리"
"솔로몬의 위증 3","미야베 미유키","문학동네","X",13320,675,31,8,2178,"X","x","추리"
"솔로몬의 위증 2","미야베 미유키","문학동네","X",13320,668,23,8,1998,"X","x","추리"
"세계추리소설걸작선 2","아놀드 베넷, 토머스 H. 쿡, 노리즈키 린타로, 도로시 L. 세이어즈, 오구리 무시타로","한스미디어","X",14220,668,2,9,1134,"X","x","추리"
"비블리아 고서당 사건수첩","미카미 엔","디앤씨미디어(D&C미디어)","X",10800,328,127,8,2730,"X","x","추리"
"밀실살인게임 마니악스","우타노 쇼고","한스미디어","X",10800,252,14,6,2334,"X","x","추리"
"사랑받지 못한 여자","넬레 노이하우스","북로드","타우누스",12420,384,73,8,2766,"X","x","추리"
"퇴마록 세계편 2","이우혁","엘릭시르","X",13320,488,5,7,2178,"X","x","추리"
"갈릴레오의 고뇌","히가시노 게이고","재인","X",13320,408,52,8,3387,"X","x","추리"
"잘린 머리처럼 불길한 것","미쓰다 신조","비채","X",12600,508,43,8,1026,"X","x","추리"
"카지노","김진명","새움","X",12420,440,34,8,4800,"X","x","추리"
"동급생","히가시노 게이고","창해(새우와 고래)","X",11700,399,62,6,3414,"X","x","추리"
"탐정 갈릴레오","히가시노 게이고","재인","X",10800,352,114,8,5376,"X","x","추리"
"푸코의 진자 3","움베르토 에코","열린책들","X",11520,402,5,6,1482,"X","x","추리"
"장미의 이름 (하)","움베르토 에코","열린책들","X",11520,932,42,8,486,"X","x","추리"
"기나긴 이별","레이먼드 챈들러","북하우스","X",12600,656,15,8,1440,"X","x","추리"
"애크로이드 살인사건","애거사 크리스티","해문출판사","X",9000,314,10,7,1500,"X","x","추리"
"ABC 살인사건","애거사 크리스티","해문출판사","X",9000,282,21,8,2484,"X","x","추리"
"복수의 여신","애거사 크리스티","해문출판사","X",5400,292,9,7,252,"X","x","추리"
"[예약판매] 교토탐정 홈즈 6","모치즈키 마이","소미미디어","X",9000,350,0,0,120,"X","x","추리"
"[예약판매] 무너지는 뇌를 끌어안고","치넨 미키토","소미미디어","X",13320,340,0,0,120,"X","x","추리"
"마카롱은 마카롱","곤도 후미에 글 / RYO 그림","영상출판미디어","X",8820,296,1,9,468,"X","x","추리"
"네 명의 의인","에드거 월리스","도서출판양파","X",11520,220,23,8,642,"X","x","추리"
"D자카 살인사건","에도가와 란포","b(도서출판비)","X",11400,237,0,0,342,"X","x","추리"
"난쟁이","에도가와 란포","b(도서출판비)","X",11400,287,0,0,288,"X","x","추리"
"인덱스","혼다 테쓰야","자음과모음","X",13320,392,8,8,1020,"X","x","추리"
