"Id","Title","Writer","Novel","Genre1","Genre2","Genre3","Score","Reviewcount"
1,"'에드거 앨런 포' 베스트 단편집 : The Best of Edgar Allan Poe (영어 원서)","에드거 앨런 포","영미소설","X","X","X",0,0
2,"(그 느낌 그대로) 국어 교과서 단편소설 1집","김유정 등","한국소설","X","X","X",0,0
3,"(그 느낌 그대로) 국어 교과서 단편소설 2집","김유정 등","한국소설","X","X","X",0,0
4,"(그동안 숨겨진 희귀본) 그림형제 동화 1집 : Grimms' Fairy Tales (영어 원서)","그림 형제","독일소설","X","X","X",0,0
5,"(그동안 숨겨진 희귀본) 그림형제 동화 2집 : Grimms' Fairy Tales (영어 원서)","그림 형제","독일소설","X","X","X",0,0
6,"(독일 동화) 그림형제 동화집 62편 : Grimms' Fairy Tales (영문판)","그림 형제","독일소설","X","X","X",0,0
7,"(명탐정) 브라운 신부의 결백 : The Innocence of Father Brown (영어 원서)","G. K. 체스터턴","x","추리","X","X",0,0
8,"(명탐정) 브라운 신부의 지혜 : The Wisdom of Father Brown (영어 원서)","G. K. 체스터턴","x","추리","X","X",0,0
9,"(불문학작품 36) LE NEVEU DE RAMEAU : 라모의 조카","DIDEROT","프랑스소설","X","X","X",0,0
10,"(소파) 방정환 단편소설 (추가 발굴 작품 수록)","방정환","한국소설","X","X","X",0,0
11,"(소파) 방정환 번안소설","방정환","한국소설","X","X","X",0,0
12,"(소파) 방정환 창작 동화집 (추가 발굴 작품 수록)","방정환","한국소설","X","X","X",0,0
13,"(일본 현대문학 대표작선 11) 전원의 우울","사토 하루오","일본소설","X","X","X",0,0
14,"[문고판] 장정일 삼국지 3","장정일","x","역사","X","X",0,0
15,"[문고판] 장정일 삼국지 4","장정일","x","역사","X","X",9,1
16,"[문고판] 장정일 삼국지 5","장정일","x","역사","X","X",0,0
17,"[보급판 문고본] 노란 코끼리","스에요시 아키코","일본소설","X","X","X",6,4
18,"[사랑의 침묵] 사랑수업","로시오 까르모나","스페인/중남미소설","X","X","X",8,4
19,"[살인해도 될까요?] 줄리언 웰즈의 죄","토머스 H. 쿡","영미소설","X","X","X",8,10
20,"[예스리커버] 이반 데니소비치 수용소의 하루","알렉산드르 이자에비치 솔제니친","러시아소설","X","X","X",7,6
21,"[예약판매] 교토탐정 홈즈 6","모치즈키 마이","x","추리","X","X",0,0
22,"[예약판매] 동트기 힘든 긴 밤","쯔진천","중국소설","X","X","X",8,7
23,"[예약판매] 무너지는 뇌를 끌어안고","치넨 미키토","x","추리","X","X",0,0
24,"[예약판매] 바르도의 링컨","조지 손더스","영미소설","X","X","X",0,0
25,"[예약판매] 방아쇠수지증후군","권행백, 강성남, 일곱째별","한국소설","X","X","X",0,0
26,"‘니콜라이 고골’ 베스트 단편집 : The Best Short Stories of Nikolai Gogol (영문판)","니콜라이 고골","러시아소설","X","X","X",0,0
27,"‘메아리’와의 만남","양귀자","한국소설","X","X","X",0,0
28,"007 죽느냐 사느냐","이언 플레밍","x","스릴러","X","X",8,3
29,"01142","공윤환","한국소설","X","X","X",0,0
30,"02 영이","김사과","한국소설","X","X","X",6,8
31,"0시 5분 전","윤진상","한국소설","X","X","X",0,0
32,"0의 살인","아비코 다케마루","x","추리","X","X",7,10
33,"1:12","양정은","한국소설","X","X","X",0,0
34,"1004번의 파르티타","이은희","한국소설","X","X","X",8,2
35,"100년전 우리가 먹은 음식","백석, 이효석, 채만식","한국소설","X","X","X",10,1
36,"100배로 갚아주겠어 1","골드 아공간","x","판타지","X","X",0,0
37,"100배로 갚아주겠어 2","골드 아공간","x","판타지","X","X",0,0
38,"100배로 갚아주겠어 3","골드 아공간","x","판타지","X","X",0,0
39,"100배로 갚아주겠어 4","골드 아공간","x","판타지","X","X",0,0
40,"100배로 갚아주겠어 5","골드 아공간","x","판타지","X","X",0,0
41,"100배로 갚아주겠어 6","골드 아공간","x","판타지","X","X",0,0
42,"100배로 갚아주겠어 7","골드 아공간","x","판타지","X","X",0,0
43,"100배로 갚아주겠어 8","골드 아공간","x","판타지","X","X",0,0
44,"100세 노인 + 까막눈이 여자 세트","요나스 요나손","북유럽소설","X","X","X",8,470
45,"100일 동안의 행복 1","파우스토 브리치","이탈리아소설","X","X","X",0,0
46,"100일 동안의 행복 2","파우스토 브리치","이탈리아소설","X","X","X",0,0
47,"1030","리 차일드","영미소설","X","X","X",8,20
48,"10년 동안의 죽음","곽기성","한국소설","X","X","X",0,0
49,"10번째 기념일","제임스 패터슨","영미소설","X","X","X",10,1
50,"10분의 기적","키아라 감베랄레","이탈리아소설","X","X","X",8,3
51,"10월의 아이","필립 베송","프랑스소설","X","X","X",8,9
52,"11:59PM 밤의 시간","김이은","한국소설","X","X","X",8,11
53,"11분","파울로 코엘료","스페인/중남미소설","X","X","X",7,168
54,"12.21 종말의 날","더스틴 토머슨","영미소설","X","X","X",6,6
55,"120% COOOL","야마다 에이미","일본소설","X","X","X",8,5
56,"12번째 카드","제프리 디버","x","스릴러","X","X",8,15
57,"12송이 백합과 13일간의 살인","안드레아스 프란츠","x","추리","X","X",8,45
58,"12월 10일","조지 손더스","영미소설","X","X","X",8,8
59,"12인 12색","신재형 등","x","추리","X","X",7,5
60,"13개의 성물 ","마이클 스콧 공","영미소설","X","X","X",0,0
61,"13인당 이야기","오노레 드 발자크","프랑스소설","X","X","X",0,0
62,"13일의 김남우","김동식","한국소설","X","X","X",8,6
63,"1598년 11월 19일 : 노량, 지지 않는 별","장한성","한국소설","X","X","X",0,0
64,"15소년 표류기 2","쥘 베른","프랑스소설","X","X","X",9,2
65,"15소년 표류기","쥘 베른","프랑스소설","X","X","X",0,0
66,"16세 아빠 샘의 고백","닉 혼비","영미소설","X","X","X",0,0
67,"16세기 러시아 문학 천줄읽기","막심 그렉 등","러시아소설","X","X","X",0,0
68,"16세기 러시아 문학","막심 그렉 등","러시아소설","X","X","X",10,1
69,"1850 대한제국 1","이윤규","x","역사","X","X",0,0
70,"1850 대한제국 2","이윤규","x","역사","X","X",0,0
71,"1850 대한제국 7","이윤규","x","역사","X","X",0,0
72,"1850 대한제국 8","이윤규","x","역사","X","X",0,0
73,"1859-1999","김상혁 등","한국소설","X","X","X",0,0
74,"1874 대혁명 1","다물","x","판타지","X","X",0,0
75,"1874 대혁명 10","다물","x","판타지","X","X",0,0
76,"1874 대혁명 11","다물","x","판타지","X","X",0,0
77,"1874 대혁명 17","다물","x","역사","X","X",0,0
78,"1874 대혁명 18","다물","x","역사","X","X",0,0
79,"1874 대혁명 19","다물","x","무협","X","X",0,0
80,"1874 대혁명 2","다물","x","판타지","X","X",0,0
81,"1874 대혁명 20","다물","x","무협","X","X",0,0
82,"1874 대혁명 21","다물","x","무협","X","X",0,0
83,"1874 대혁명 22","다물","x","무협","X","X",0,0
84,"1874 대혁명 23","다물","x","무협","X","X",0,0
85,"1874 대혁명 3","다물","x","판타지","X","X",0,0
86,"1874 대혁명 4","다물","x","판타지","X","X",0,0
87,"1874 대혁명 5","다물","x","판타지","X","X",0,0
88,"1874 대혁명 6","다물","x","판타지","X","X",0,0
89,"1874 대혁명 7","다물","x","판타지","X","X",0,0
90,"1874 대혁명 8","다물","x","판타지","X","X",0,0
91,"1874 대혁명 9","다물","x","판타지","X","X",0,0
92,"1904 대한민국 4","박대성","x","역사","X","X",0,0
93,"1930년대 중국여성소설 명작선 1","빙신, 루인, 천잉 공","중국소설","X","X","X",0,0
94,"1943년, 베를린, 러브스토리","에리카 피셔","동유럽소설","X","X","X",6,10
95,"1944, 테러리스트, 첼로","이숙경","한국소설","X","X","X",0,0
96,"1945년 여름","김석범","한국소설","X","X","X",0,0
97,"1961","하태환 원","한국소설","X","X","X",8,1
98,"1970년의 죽음, 판문점 외","이호철","작가 선집","X","X","X",0,0
99,"1973년의 핀볼","무라카미 하루키","일본소설","X","X","X",8,12
100,"1980 (1) 큰글씨책","노재열","한국소설","X","X","X",0,0
101,"1980 (2) 큰글씨책","노재열","한국소설","X","X","X",0,0
102,"1984 ","조지 오웰","영미소설","X","X","X",0,0
103,"1984 (1)","조지 오웰","영미소설","X","X","X",8,4
104,"1984 (2)","조지 오웰","영미소설","X","X","X",0,0
105,"1984 세트","조지 오웰","영미소설","X","X","X",8,9
106,"1994년 어느 늦은 밤","유현산","x","스릴러","X","X",8,7
107,"1995","이경희, 채현선, 김형주","한국소설","X","X","X",0,0
108,"19번째 아내 1","데이비드 에버쇼프","x","스릴러","X","X",6,3
109,"19번째 아내 2","데이비드 에버쇼프","x","스릴러","X","X",6,2
110,"19세기 미국 단편 걸작선","황재광","영미소설","X","X","X",0,0
111,"19호실로 가다","도리스 레싱","영미소설","X","X","X",8,46
112,"1F/B1 일층, 지하 일층","김중혁","한국소설","X","X","X",8,20
113,"1Q84 1","무라카미 하루키","일본소설","X","X","X",8,358
114,"1Q84 1~3권 세트","무라카미 하루키","일본소설","X","X","X",8,732
115,"1Q84 2","무라카미 하루키","일본소설","X","X","X",8,127
116,"1Q84 3","무라카미 하루키","일본소설","X","X","X",8,194
117,"1Q84 BOOK 세트","무라카미 하루키","일본소설","X","X","X",7,4
118,"1Q84 BOOK1 상 ","무라카미 하루키","일본소설","X","X","X",9,2
119,"1Q84 BOOK1 하","무라카미 하루키","일본소설","X","X","X",8,3
120,"1Q84 BOOK2 상","무라카미 하루키","일본소설","X","X","X",8,3
121,"1Q84 BOOK2 하","무라카미 하루키","일본소설","X","X","X",9,2
122,"1Q84 BOOK3 상","무라카미 하루키","일본소설","X","X","X",8,3
123,"1Q84 BOOK3 하","무라카미 하루키","일본소설","X","X","X",8,2
124,"1인 레이드 1","박성균","x","판타지","X","X",0,0
125,"1인 레이드 2","박성균","x","판타지","X","X",0,0
126,"1인 레이드 3","박성균","x","판타지","X","X",0,0
127,"1인 레이드 4","박성균","x","판타지","X","X",0,0
128,"1인 레이드 5","박성균","x","판타지","X","X",0,0
129,"1인 레이드 6","박성균","x","판타지","X","X",0,0
130,"1인 레이드 7","박성균","x","판타지","X","X",0,0
131,"1인 레이드 8","박성균","x","판타지","X","X",0,0
132,"1파운드의 슬픔","이시다 이라","일본소설","X","X","X",8,27
133,"2004' 올해의 추리소설 슈퍼모델","한국추리작가협회 편","x","추리","X","X",8,1
134,"2006 중국어문학 연감","중국학@센터","중국소설","X","X","X",0,0
135,"2010 제1회 젊은 작가상 수상 작품집","김중혁, 편혜영, 이장욱, 배명훈, 김미월","한국소설","X","X","X",8,56
136,"2011 제2회 젊은 작가상 수상 작품집","김애란, 김이환, 김사과, 김유진, 이장욱","한국소설","X","X","X",8,52
137,"2012 제3회 젊은 작가상 수상작품집","김이설, 김미월, 정소현, 김성중, 황정은","한국소설","X","X","X",8,11
138,"2013 아시아 대표 문제 소설","편집부 편","기타 국가의 소설","X","X","X",0,0
139,"2013 재외동포 문학의 창","편집부","한국소설","X","X","X",0,0
140,"2013 제4회 젊은작가상 수상작품집","이장욱, 김미월, 박솔뫼, 황정은, 정용준","한국소설","X","X","X",8,5
141,"2013 즐거운 사라","마광수","한국소설","X","X","X",8,19
142,"2014 상주문학 제26집","한국문인협회상주지부 편","한국소설","X","X","X",0,0
143,"2014 올해의 문제소설","한국현대소설학회 편","한국소설","X","X","X",0,0
144,"2014 젊은소설","강태식 등","한국소설","X","X","X",0,0
145,"2014 제5회 젊은작가상 수상작품집","조해진, 황정은, 윤이형, 기준영, 손보미","한국소설","X","X","X",8,14
146,"2014 한국을 빛낸 문인","명작선 선정위원회","한국소설","X","X","X",0,0
147,"2015 안양문학 제26집","편집부 편","한국소설","X","X","X",0,0
148,"2015 올해의 문제소설","한국현대소설학회 편","한국소설","X","X","X",0,0
149,"2015 젊은 소설","힘센소설가 7인 외","한국소설","X","X","X",0,0
150,"2015 제6회 젊은작가상 수상작품집","이장욱, 윤이형, 손보미, 최은미, 정지돈","한국소설","X","X","X",8,30
151,"2015 한국을 빛낸 문인들","명작선 선정위원회","한국소설","X","X","X",0,0
152,"2016 신예작가","편집부","한국소설","X","X","X",0,0
153,"2016 제7회 젊은작가상 수상작품집","기준영, 정용준, 장강명, 김솔, 최정화","한국소설","X","X","X",8,46
154,"2016 한국을 빛낸 문인들","명작선 선정위원회 편","한국소설","X","X","X",0,0
155,"2017 신예작가","이재은 등","한국소설","X","X","X",0,0
156,"2017 올해의 문제 소설","한국현대소설학회 편","한국소설","X","X","X",0,0
157,"2017 제8회 젊은작가상 수상작품집","최은미, 최은영, 백수린, 김금희, 임현","한국소설","X","X","X",8,72
158,"2017 제9집 소설(小說)과 비평(批評)","편집부","한국소설","X","X","X",0,0
159,"2018 신예작가","문은강 등","한국소설","X","X","X",0,0
160,"2018 올해의 문제 소설","한국현대소설학회 편","한국소설","X","X","X",0,0
161,"2018 유심작품상 수상문집","송준영, 천양희, 박방희, 고형렬","한국소설","X","X","X",0,0
162,"2018 제9회 젊은작가상 수상작품집","임성순, 임현, 박민정, 박상영, 정영수","한국소설","X","X","X",8,39
163,"2036 YEAR 1","모희준","x","SF","X","X",9,1
164,"2036 YEAR 2","모희준","x","SF","X","X",0,0
165,"207마일","채현선","한국소설","X","X","X",0,0
166,"2084","부알렘 상살","프랑스소설","X","X","X",2,1
167,"20년 후","오 헨리","영미소설","X","X","X",0,0
168,"20년간 내가 목격한 괴이한 일들 천줄읽기","우젠런","중국소설","X","X","X",0,0
169,"20년간 내가 목격한 괴이한 일들","우젠런","중국소설","X","X","X",0,0
170,"20세기의 셔츠","얀 마텔","영미소설","X","X","X",0,0
171,"21세기 무림세가 1","호운","x","무협","X","X",0,0
172,"21세기 무림세가 2","호운","x","무협","X","X",0,0
173,"21세기 무림세가 3","호운","x","무협","X","X",0,0
174,"21세기 무림세가 4","호운","x","무협","X","X",0,0
175,"21세기 무림세가 5","호운","x","무협","X","X",0,0
176,"21세기 삼족오가 이 땅에 온 이유? ","이정숙","한국소설","X","X","X",0,0
177,"25+10=X","신지견","한국소설","X","X","X",0,0
178,"25시 상","C. V. 게오르규","프랑스소설","X","X","X",8,5
179,"25시 하","C. V. 게오르규","프랑스소설","X","X","X",9,5
180,"264일의 쿠데타 1","노가원","한국소설","X","X","X",8,34
181,"264일의 쿠데타 2","노가원","한국소설","X","X","X",8,13
182,"2666 세트","로베르토 볼라뇨","스페인/중남미소설","X","X","X",8,2
183,"28 + 7년의 밤 세트","정유정","x","추리","X","X",8,637
184,"28","정유정","한국소설","X","X","X",8,176
185,"2번 종점","정이수","한국소설","X","X","X",0,0
186,"2인용 독백","김효나","한국소설","X","X","X",8,2
187,"2천년 전, 나는 가롯유다의 여자였다","우주합장","x","역사","X","X",9,1
188,"30인의 회귀자 1","이성현","x","판타지","X","X",0,0
189,"30인의 회귀자 2","이성현","x","판타지","X","X",0,0
190,"30인의 회귀자 3","이성현","x","판타지","X","X",0,0
191,"30인의 회귀자 4","이성현","x","판타지","X","X",0,0
192,"30인의 회귀자 5","이성현","x","판타지","X","X",0,0
193,"30인의 회귀자 6","이성현","x","판타지","X","X",0,0
194,"30인의 회귀자 7","이성현","x","판타지","X","X",0,0
195,"30인의 회귀자 8","이성현","x","판타지","X","X",0,0
196,"30인의 회귀자 9","이성현","x","판타지","X","X",0,0
197,"31","박규동","한국소설","X","X","X",0,0
198,"312호에서는 303호 여자가 보인다","피터 스완슨","영미소설","X","X","X",8,53
199,"31월 12일 미스터리 1","마룬K","x","판타지","X","X",0,0
200,"31월 12일 미스터리 2","마룬K","x","판타지","X","X",0,0
201,"31월 12일 미스터리 3","마룬K","x","판타지","X","X",0,0
202,"31월 12일 미스터리 4","마룬K","x","판타지","X","X",0,0
203,"31월 12일 미스터리 5","마룬K","x","판타지","X","X",0,0
204,"31월 12일 미스터리 6","마룬K","x","판타지","X","X",0,0
205,"31월 12일 미스터리 7","마룬K","x","판타지","X","X",0,0
206,"36.5 (9)","더노트","x","판타지","X","X",10,1
207,"36인의 아틀라스","노진선 역","x","스릴러","X","X",7,2
208,"3등급 슈퍼 영웅","찰스 유","영미소설","X","X","X",8,8
209,"3월의 부활절","김진균","한국소설","X","X","X",0,0
