"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X","n"
"'에드거 앨런 포' 베스트 단편집 : The Best of Edgar Allan Poe (영어 원서)","에드거 앨런 포","X",15000,288,0,0,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그 느낌 그대로) 국어 교과서 단편소설 1집","김유정 등","X",14000,264,0,0,246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그 느낌 그대로) 국어 교과서 단편소설 2집","김유정 등","X",10800,185,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그동안 숨겨진 희귀본) 그림형제 동화 1집 : Grimms' Fairy Tales (영어 원서)","그림 형제","X",11000,189,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(그동안 숨겨진 희귀본) 그림형제 동화 2집 : Grimms' Fairy Tales (영어 원서)","그림 형제","X",11400,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(독일 동화) 그림형제 동화집 62편 : Grimms' Fairy Tales (영문판)","그림 형제","X",16900,336,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(명탐정) 브라운 신부의 결백 : The Innocence of Father Brown (영어 원서)","G. K. 체스터턴","X",16400,325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(명탐정) 브라운 신부의 지혜 : The Wisdom of Father Brown (영어 원서)","G. K. 체스터턴","X",15400,299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"(불문학작품 36) LE NEVEU DE RAMEAU : 라모의 조카","DIDEROT","X",6000,172,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(소파) 방정환 단편소설 (추가 발굴 작품 수록)","방정환","X",12400,225,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(소파) 방정환 번안소설","방정환","X",11000,189,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(소파) 방정환 창작 동화집 (추가 발굴 작품 수록)","방정환","X",9300,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(일본 현대문학 대표작선 11) 전원의 우울","사토 하루오","X",4950,186,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"[문고판] 장정일 삼국지 3","장정일","X",4950,392,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"[문고판] 장정일 삼국지 4","장정일","X",4950,384,1,9,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"[문고판] 장정일 삼국지 5","장정일","X",4950,412,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"[보급판 문고본] 노란 코끼리","스에요시 아키코","X",5400,260,4,6,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"[사랑의 침묵] 사랑수업","로시오 까르모나","X",10800,320,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"[살인해도 될까요?] 줄리언 웰즈의 죄","토머스 H. 쿡","X",12420,328,10,8,156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"[映]암리타","노자키 마도","X",8100,224,1,9,249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"[예스리커버] 이반 데니소비치 수용소의 하루","알렉산드르 이자에비치 솔제니친","X",9000,284,6,7,22305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"[예약판매] 교토탐정 홈즈 6","모치즈키 마이","X",9000,350,0,0,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
