"Title","Writer","Publisher","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Avail19","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X","n"
"[映]암리타","노자키 마도","영상출판미디어","X",8100,224,1,9,276,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"[映]암리타","노자키 마도","영상출판미디어","X",8100,224,1,9,222,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"0시간으로","애거사 크리스티","동서문화사","X",8820,526,1,8,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"0시간으로","애거사 크리스티","동서문화사","X",8820,526,1,8,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"1026","김진명","새움","X",12420,472,67,8,1860,"X",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2
"1026","김진명","새움","X",12420,472,67,8,1920,"X",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2
"10개월, 종말이 오다","최경빈, 윤병현, 진위명, 김보람, 박해로, 원상이, 최철진 공","황금가지","X",10800,400,6,8,54,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,2
"10개월, 종말이 오다","최경빈, 윤병현, 진위명, 김보람, 박해로, 원상이, 최철진 공","황금가지","X",10800,400,6,8,54,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,2
"10년 후의 일상","편석준","레드우드","X",11250,224,4,8,90,"X",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"10년 후의 일상","편석준","레드우드","X",11250,224,4,8,90,"X",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"10만 분의 1의 우연","마쓰모토 세이초","북스피어","X",10800,400,20,8,108,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"10만 분의 1의 우연","마쓰모토 세이초","북스피어","X",10800,400,20,8,120,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"10일간의 불가사의","엘러리 퀸","동서문화사","X",7020,405,1,9,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"10일간의 불가사의","엘러리 퀸","동서문화사","X",7020,405,1,9,0,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"11/22/63 1","스티븐 킹","황금가지","X",12150,512,35,8,402,"X",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"11/22/63 1","스티븐 킹","황금가지","X",12150,512,35,8,420,"X",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"11/22/63 2","스티븐 킹","황금가지","X",14220,744,17,8,276,"X",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"11/22/63 2","스티븐 킹","황금가지","X",14220,744,17,8,264,"X",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2
"11문자 살인사건","히가시노 게이고","알에이치코리아(RHK)","X",13320,344,61,8,34083,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"11문자 살인사건","히가시노 게이고","알에이치코리아(RHK)","X",13320,344,61,8,33009,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"13.67","찬호께이","한스미디어","X",15300,664,52,8,9576,"X",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"13.67","찬호께이","한스미디어","X",15300,664,52,8,9378,"X",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"13계단","다카노 가즈아키","황금가지","X",10800,365,152,8,8406,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"13계단","다카노 가즈아키","황금가지","X",10800,365,152,8,8052,"X",0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2
"13시간","디온 메이어","아르테 누아르","X",14400,560,20,8,264,"X",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,2
"13시간","디온 메이어","아르테 누아르","X",14400,560,20,8,264,"X",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,2
"13의 비밀","조르즈 시므농","해문출판사","X",7200,252,1,8,24,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"13의 비밀","조르즈 시므농","해문출판사","X",7200,252,1,8,24,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"13호 독방의 문제","잭 푸트렐","동서문화사","X",7920,403,4,5,24,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"13호 독방의 문제","잭 푸트렐","동서문화사","X",7920,403,4,5,24,"X",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2
"17세기 러시아 문학","아바쿰 페트로프 등","지만지","X",18000,370,0,0,0,"X",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"17세기 러시아 문학","아바쿰 페트로프 등","지만지","X",28000,370,0,0,0,"X",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
